# x (km)              y (km)
104782.522011887937  58227.296358032683
105161.369739957910  58599.081671427477
105538.842084766191  58970.098831251555
105914.951491418105  59340.352684433150
106289.710208901888  59709.848020564721
106663.130294433024  60078.589572849640
107035.223617675088  60446.582019029374
107406.001864841761  60813.829982292053
107775.476542683580  61180.338032162304
108143.658982363646  61546.110685373504
108510.560343226010  61911.152406721820
108876.191616460317  62275.467609903564
109240.563628666292  62639.060658335620
109603.687045321072  63001.935865959116
109965.572374153213  63364.097498027550
110326.229968425643  63725.549771878803
110685.670030131208  64086.296857692068
111043.902613103506  64446.342879229836
111400.937626045328  64805.691914564944
111756.784835477796  65164.347996793687
112111.453868612894  65522.315114734731
112464.954216150858  65879.597213614412
112817.295235006241  66236.198195738732
113168.486150963538  66592.121921152240
113518.536061265404  66947.372208284258
113867.453937135258  67301.952834582451
114215.248626236353  67655.867537134487
114561.928855069084  68009.120013277556
114907.503231308889  68361.713921196322
115251.980246085936  68713.652880509559
115595.368276208756  69064.940472845512
115937.675586333615  69415.580242406577
116278.910331080551  69765.575696523127
116619.080557098539  70114.930306197100
116958.194205080828  70463.647506635345
117296.259111731677  70811.730697773004
117633.283011686653  71159.183244787229
117969.273539386995  71506.008478601332
118304.238230909934  71852.209696379650
118638.184525756020  72197.790162013291
118971.119768594843  72542.753106597069
119303.051210969905  72887.101728897469
119633.986012964655  73230.839195812558
119963.931244829524  73573.968642822932
120292.893888572347  73916.493174435192
120620.880839512436  74258.415864616851
120947.898907799259  74599.739757223710
121273.954819897292  74940.467866419742
121599.055220037364  75280.603177089084
121923.206671635679  75620.148645241075
122246.415658681333  75959.107198407961
122568.688587093522  76297.481736035610
122890.031786048334  76635.275129867354
123210.451509277293  76972.490224321125
123529.953936336882  77309.129836860113
123848.545173851497  77645.196758356775
124166.231256728628  77980.693753450629
124483.018149348733  78315.623560899927
124798.911746729646  78649.988893927293
125113.917875665808  78983.792440559293
125428.042295844061  79317.036863960238
125741.290700935453  79649.724802760567
126053.668719664580  79981.858871379241
126365.181916856352  80313.441660341021
126675.835794461251  80644.475736588181
126985.635792559435  80974.963643787181
127294.587290344207  81304.907902630046
127602.695607085174  81634.311011130878
127909.966003072099  81963.175444917200
128216.403680539443  82291.503657516805
128522.013784572395  82619.298080639652
128826.801403994585  82946.561124455067
129130.771572238082  83273.295177864682
129433.929268196269  83599.502608770694
129736.279417059530  83925.185764339752
130037.826891134697  84250.346971262741
130338.576510648170  84574.988536010133
130638.533044533775  84899.112745083548
130937.701211204694  85222.721865262865
131236.085679310956  85545.818143849814
